id,date,username,stars,model,variation,badge,upvotes,comments,title,body,replied,reply,url
RFVZMEDT33NFW,"December 24, 2019",Piyush Patel,5,MB2236adw,,Verified Purchase,0,0,All good,Good,No,,https://www.amazon.com/gp/customer-reviews/RFVZMEDT33NFW?ie=UTF8&ASIN=B07N27LPPG
R267GU2ETRU9V7,"July 10, 2019",Bella,3,MB2236adw,,Vine Customer,4,0,Solid printer with one major downfall,"I was surprised how easy this printer was to set up (minus the SMTP scan to email part), despite the instructions only having pictures. There's only one cord to plug in. Once you've finished the instructions load up the software disc in your computer (alternatively if you don't have a disc drive, download the software off of lenmarks website for this specific model) at that point the printer directs you to download an app called ""Lenmark Mobile assistant"" and connect to the wifi with the printers model as a name on your phone. Once you've done that, go back to your computer and you'll see the set up now detects the printer and downloads the appropriate software for that specific model. Theres also some optional software you can install that adds features such as saved fax contacts, the ability to fax multiple people at once, etc. It comes with toner so it's ready to print out of box. Note: it's normal that the two USB-A ports are blocked off by a little plastic piece, this printer does not come with USB-A  functionality, only USB-B functionality (USB-B port is located in the back, see attached pic).I didn't experience SMTP error the other reviewer noted, I did however, notice the slight flickering of the power button but it doesn't bother me. You don't need to use the Lenmark app to print if you don't mind turning on the printer before printing (you do however need it to scan documents to save as digital files if you want to avoid setting up the SMTP server), you can use Google cloud print/Samsung cloud print, Apple airprint, etc.You have to be connected to the same wifi that the printer is connected to in order to print from your phone, tablet, laptop, etc., which means you cannot print while away from home. Lexmark has a paid subscription service (Lexmark Cloud Print Management) that allows you to print while connected to any wifi but I believe it's only available for businesses. My biggest pet peeve with this printer is you have to manually turn it on each time unless you use lenmarks dedicated app, which kinda eliminates the majority of the convenience of cloud print since you have to walk over to the printer like a 2002 shmuck, and I'm not a super big fan of having an app on my phone/tablet just to use my printer when cloud print and air print already exist ya know?SCANNING DOCUMENTS:From what I understand, you have two options for scanning documents. Either set up the SMTP server for scan to email functionality (which you'll either have to do yourself or call Lexmark and they'll do it for you via remote access to your computer) or you'll have to use the ""Lexmark mobile print"" app. If you decide to call Lexmark technical support to have them set it up for you DO NOT call near closing time (9pm EST) because they WILL hang up on you in the middle of working on your computer. I called at 8:37pm EST (I didn't think it would take very long) to have them help me set it up and they hung up on me with no warning after one hour of being on the phone with them, so I basically wasted an hour of my day. Finally, after the third call (each lasting about an hour each) we finally got the scan to email function working. The problem is, the only way to do it is to turn on access for less secure apps in your Google account settings (see screenshot) which puts the security of your Google account at risk. I suggest either using a throwaway email to scan things or not using the scan to email function at all.CONS:- Black and white printing only- A bit bulky- Aesthetically lacking- You have to manually turn on the printer to cloud print (unless you use lenmarks app)- You have to be connected to the same wifi the printer is to cloud print- No USB type A ports (therefore you can't use USB flash drives without an adapter)- Somewhat stingy starter cartridge (prints 700 pages)- Toner for this printer isn't the cheapest- You have to manually turn over double sided pages when scanning- SMTP scan to email function set up is unnecessarily complicated w/ no directionsPROS:- Easy set up- Save money on ink- Wireless printing is convenient- More security features than other printers at this price pointCONCLUSION:If you're tired of buying overpriced ink, get a laser printer. They're more of an investment, but generally tend to have a longer lifespan than ink jet printers. This is a solid printer but it's biggest downfall is the SMTP scan to email function. It's an absolute headache and I recommend avoiding it altogether. Luckily, there is a workaround that doesn't sacrifice being able to scan physical documents and turn them into digital ones, but you have to use lenmarks app. If you're fine with that, don't rule out this printer as an option.",No,,https://www.amazon.com/gp/customer-reviews/R267GU2ETRU9V7?ie=UTF8&ASIN=B07N27LPPG
R3LW0NN16FHC9M,"November 1, 2019",Theresa J.,1,MB2236adw,,Unverified,5,0,Scanner functionlity,"Looks good and reads well on Amazon, however this printer is dysfunctional for everyday use.  There is no USB port to print to and for scanning you have to open an application even though the printer key pad option actually have a scan prompt cability.  When you use that function, it gives you a hard copy of the document.  The technical support team lacks the knowledge about the printer functionalities.  In fact when they cannot answer a practical question they lie instead.  One tech by the name Yury Alexandra Espinosa Piratoba was very dishonest about calling me back.... still waiting.  The case number she gave to me does not exit according to another tech support member.  The chat request gives an error after submitting",No,,https://www.amazon.com/gp/customer-reviews/R3LW0NN16FHC9M?ie=UTF8&ASIN=B07N27LPPG
R369M0HXD51CGA,"July 12, 2019",CorpGovNet,4,MB2236adw,,Vine Customer,1,0,"OEM Refills Only, Since New Model: Setup Difficult","This is a great quality printer. Prints quickly with high quality imaging. Document feeder works fine. I found it easy to connect via wi-fi to my computers. I really like having a document feeder and a flatbed scanner, which is really handy when scanning books.However, there are a couple of problems. First, there's the blinking red light indicating server error. Luckily for you, a May 16, 2019 by reviewer going by the name 'Amazon Customer,' spent hours fixing the problem and tells you in their review how to do it more quickly.Second, getting the scanner to scan to e-mail is also a pain that took another reviewer hours to sort out. Read the July 10, 2019 review by 'Bella' and you'll also get that done much more quickly.Those issues are real (so one star off) but once fixed you should love the printer with one other exception. Since it is new, no one is making less expensive toner cartridges for it and Lexmark isn't the most popular brand, so it may take a while until they do. I'm taking another 1/2 star off for that (I am rounding down to three stars.)Still, OEM toner cartridges are only $50 and they should print about 1,200 pages. That works out to slightly over 4 cents a page. Or you can get a high yield cartridge for $78 that prints 3,000 pages (2.6 cents a page) That's more than I pay (except on my color printer) but much less expensive than most inkjets.Laser printers really are the way to go. Once you get the setup issues resolved, I expect you'll like the printer. By the time you get through the 700 starter cartridge, maybe someone will make a less expensive compatible cartridge. Or, you could check out Brother printers. They seem to be the most popular. I pay around 1/2 a cent for the ink for each page on my black and white Brother... although sometimes it isn't as nice and crispy as it should be.",No,,https://www.amazon.com/gp/customer-reviews/R369M0HXD51CGA?ie=UTF8&ASIN=B07N27LPPG
R1EYFMTU3OCMLZ,"June 29, 2019",dan rossi,4,MB2236adw,,Vine Customer,1,0,Setup is a bear.,"When i got this in i immediately unboxed and tryed to set it up. When i turned it on the screen it asked with or without disc, now i have nothing in my house that takes a disc so i went for using the app. Well the app is useless, the screen gives u a id to type in which doesn't exist in the app so i decided to use the scan the back of the unit option. It scanned, told me it didnt see it. I had to download a different app other then the one that it told me to use.So there is the print app and a mobile assistance app that sees your wifi network. It seemed to work untill i hit print and only heard the rollers spin, then nothing. In order for me to get it to work i had to plug in my either net cable. Also if it wasnt for another reviewer i would have never figured how to get rid of the red blinking light.Now that it's hardwired and my phone and laptop see it the unit works great. It prints fast and scans fast. I just need to plug my phone jack in to try the fax out.Just beware if this is in your house u will most likely have some issues getting it up and running.",No,,https://www.amazon.com/gp/customer-reviews/R1EYFMTU3OCMLZ?ie=UTF8&ASIN=B07N27LPPG
RO5E9LDMF155E,"July 4, 2019",@TrevorHikes,4,MB2236adw,,Vine Customer,2,0,"Painful Setup, Great Printing",I've set up a lot of printers over the years and overall wireless printer setup can be tough but this printer's wireless setup process is horrible and in my case - impossible.  The app they have you download could never find the printer. Luckily I had a CAT-5 cable already set up so I chose that method and was up and running quickly. I also had trouble loading the paper the first time. Luckily my wife figured it out. So the best advice I have is to make sure there is someone smart nearby. Print quality and speed are fantastic.,No,,https://www.amazon.com/gp/customer-reviews/RO5E9LDMF155E?ie=UTF8&ASIN=B07N27LPPG
R2LSKMKUGRULUU,"July 27, 2019",CNH,4,MB2236adw,,Vine Customer,0,0,"Great printer, worth the price.  Monochrome","I originally got this for my kids to use -- school projects are going to bankrupt me -- but I've been so impressed that this has become my main default printer.  It will print, copy, scan and fax.  Setup was simple for me -- driver update and off we go . . . and I found that it did all the things it was supposed to easily.  It prints faster and cleaner images than my more expensive Brother laser.  The size is convenient so it fits easily in my space (roughly 14"" square and 16"" tall).  The noise while printing seems to be the same a my Brother and processing time before starting to print is a hair faster.The cons -- no auto-duplexing document feeder for scanning.  I miss that more than I thought I would.  It's monochrome -- somehow I missed that in the description and honestly I would have passed if I had caught that.  I'm glad I didn't pass . . . but sure would be nice to have the option of color.  And honestly -- that on printer menu is a pain.  Two line scrolling menu to control the printer?  SHEESH.  Horribly cumbersome.  BUT everything can be controlled from your PC using their software so no reason to ever do that again.  Oh, and the smtp error.  That has to be disabled or ignored.I haven't used up the starter cartridge yet but comparatively the toner price per page appears to be more expensive than the Brother.  That will depend on whether I get the pages they estimate out of every cartridge or possibly more.Lastly, not specific to this printer but just a food for thought type thing -- since this is an all in one there is always the consideration that one part of the printer (say the scan function) will quit on you and you have to replace the entire unit.  For me, the reduced foot print of a scanner and printer down to just printer, and a compact one at that, is worth the risk.  But is is worth considering before you commit.",No,,https://www.amazon.com/gp/customer-reviews/R2LSKMKUGRULUU?ie=UTF8&ASIN=B07N27LPPG
R3DRARC2UN4FLX,"July 13, 2019",Sagewood,4,MB2236adw,,Vine Customer,0,0,"Great printer, but prints only in black and white","This printer is really awesome and easy to set-up in few minutes with very little help and guide from the instruction manual. Though I think the set- up was relatively easy for me because I have a lot of experience with printers and electronic gadgets and may not be so easy for a newbie to set-up.I ordered this Laser printer because my old one does not as efficiently I would like (very slow). This Lexmark printer prints very fast; so when you are printing papers in a hurry it doesn't waste your time and does the job quickly. Another great feature is that it supports printing from my mobile devices with our wireless Wi-Fi network. I was able to print from my devices and connects seamlessly. My favorite part about this printer is the 2 - sided printing because it saves a lot of paper. It was able to hold about 150 sheets of paper which is a good upgrade from my previous printer which could barely squeeze 100 printing paper. The only thing I don’t like about this printer is the fact that it only prints in black ink. For me this is fine but  my kids need some of their school projects to be printed in color. Which is a bit of a deal breaker, especially when this printer has faxing but no color. Faxing is something I will almost never use, while colored printing is important to my kids. Overall this is a great printer for the price point, but I wish it had option for color printing.",No,,https://www.amazon.com/gp/customer-reviews/R3DRARC2UN4FLX?ie=UTF8&ASIN=B07N27LPPG
R5XZE153QXCEF,"August 2, 2019",Thinker3,3,MB2236adw,,Vine Customer,0,0,"Great printer, if you can get it to work for you","This printer does all of the jobs it should do quite well. If you can get it to print, it prints well and quickly. If you can get it to scan, it scans well and quickly. And so on. The difficulty is getting the printer to do its jobs. The printer comes with very little in the way of instructions, and a cd that's not much help. The materials on the manufacturer's website are also mostly useless. So setting the printer up is actually quite difficult. This is not helped by the printer's lack of a real screen (it just has a small display for two lines of text). Since getting the printer, I have been using it by connecting the USB, as getting wireless printing to work every time is a chore.Without the other reviewer's comments, I would never have gotten rid of the error that reminds you to set up SMTP. Actually setting up SMTP has proved beyond my capabilities.The printer also takes a fair bit of time to start up, and it needs to be restarted quite often as its OS locks up if it's left alone.Overall, it's a good printer if you don't mind hooking up the usb every time you want to use it.",No,,https://www.amazon.com/gp/customer-reviews/R5XZE153QXCEF?ie=UTF8&ASIN=B07N27LPPG
R2KO3L8R22WLRR,"July 17, 2019",Theresa H,3,MB2236adw,,Vine Customer,2,0,Installation could be simplified,The printer is awesome! The installation not so much. It needs better direction. It should not be this discombobulated to hook this thing up. It prints perfectly though so that's a plus.,No,,https://www.amazon.com/gp/customer-reviews/R2KO3L8R22WLRR?ie=UTF8&ASIN=B07N27LPPG
R362KY6REF9H55,"July 30, 2019",Trevor J. Flannigan,5,MB2236adw,,Vine Customer,0,0,Office Quality,This is perfect for my little office. I only have myself and two other people and I didn't want to sign a lease for some huge machine. This was a very cost effective compromise. It does everything the big boys do and works just fine for our small office. I suspect if we used a lot more we would need more bells and whistles but it's not necessary right now. The thing we use most is the scan to email and it does it quick and allows us to send off contracts pretty quickly!,No,,https://www.amazon.com/gp/customer-reviews/R362KY6REF9H55?ie=UTF8&ASIN=B07N27LPPG
R2VNVG66D8I9Z,"August 15, 2019",Sadie Parker,5,MB2236adw,,Vine Customer,0,1,LOVE,"this printer is awesome!The printer itself is heavy and sturdy and comes packaged in a strong box. Once I unpacked it, I was able to Get it going by connecting it to my wifi at home. It is fast, has great color and it quiet. I haven’t tried to fax anything and I won’t use that feature. But the scanning works great and does the printing. I am very happy!",No,,https://www.amazon.com/gp/customer-reviews/R2VNVG66D8I9Z?ie=UTF8&ASIN=B07N27LPPG
