LXKresponded,body,codename,comments,date,id,model,program,purchaseType,reply,stars,title,upvotes,url,username
No,"I bought this at a much lower price before the epidemic started. It's a good printer, easy to setup and I can print from multiple devices in my house.My Main issue is how the seller has Jacked up the prices to almost twice the amount suddenly after the epidemic started.",Bluering,1,"April 24, 2020",R6E11ZPS7PDD2,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,I'm glad I bought this before the seller jacked up the prices,2,https://www.amazon.com/gp/customer-reviews/R6E11ZPS7PDD2?ie=UTF8&ASIN=B07T6PGM4J,I bought this
Yes,This is a horrible printer and is not working correctly. When I first got it. I set it up and that was easy enough. I printed a resumè and that took forever but it finally printed. And now I tried to print one picture of a police flag and it printed out about 40 small sections of the pic before it finally went through all the way. ( see pic included )This is a horrible product and I would not recommend anyone but it EVER!,Bluering,1,"April 24, 2020",R96DKOBZB1QOA,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,"We appreciate you taking the time to provide a review of your experience. This printer outputs up to 24 pages per minute for both black and color, though performance may be affected by factors such as document complexity and network speeds. If you have any issues requiring additional support, please call our Lexmark technical support line at 1-800-LEXMARK (1-800-539-6275) Monday-Friday, 8:00am to 9:00pm EST (option 1).",1,Worst printer ever,1,https://www.amazon.com/gp/customer-reviews/R96DKOBZB1QOA?ie=UTF8&ASIN=B07T6PGM4J,Anthony Gambino
Yes,"when I needed to buy a toner I found that there is no genuine toner, that is, it is a disposable product, for the cost of toner it is feasible to buy a new printer that accepts genuine toners",Bluering,1,"April 18, 2020",R312W6349D4H2X,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,Thank you for your review of the C3224; we appreciate your feedback. This product does in fact have genuine toner available. You can visit Lexmark’s official website and type in “C3224” in the search box for your product’s genuine toner cartridge offering.,1,No,1,https://www.amazon.com/gp/customer-reviews/R312W6349D4H2X?ie=UTF8&ASIN=B07T6PGM4J,Danila
Yes,"This printer was great in the beginning. Then the minute I needed toner, errors began. With everything! I spent over $300 on four toner cartridges directly from Lexmark’s recycle program: where you use it once and send it back. That was the cheapest I could find for legit toner. That was more than the printer cost in the beginning! Then the errors began. Toner not recognized. Fisher needed attention. Toner waste bottle needed changing although it’s supposed to hold way more than what it’s has in it. One minute it prints. One minute it doesn’t. Since getting it to work with the LEXMARK toner, occasionally it looks faded, with brand new toner! I’ve had other brands of laser printers before and they worked so much better and toner didn’t cost as much as a car payment. When this ones fully dead, I will NEVER buy another Lexmark product again!",Bluering,1,"April 18, 2020",R1H9XVGAWC6CWF,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,"Thank you for your review; we appreciate your candid feedback. The errors you are describing, not only sound frustrating, but atypical. We would like to get you back up and running – with no errors and crisp prints. Please call the Lexmark technical support line at 1-800-LEXMARK (1-800-539-6275) Monday-Friday, 8:00am to 9:00pm EST (option 1) so we can assist.",1,"Expensive toner, prints when it wants, not worth the money!",0,https://www.amazon.com/gp/customer-reviews/R1H9XVGAWC6CWF?ie=UTF8&ASIN=B07T6PGM4J,Robin Nicole
No,"We ordered this for a customer, and it stopped working within 6 months (closer to 4 months, actually) ... we have contacted the manufacturer directly and ZERO help.",Bluering,0,"April 17, 2020",R1IC0UEXTMZ8V3,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,Stopped working and zero help from the manufacturer,0,https://www.amazon.com/gp/customer-reviews/R1IC0UEXTMZ8V3?ie=UTF8&ASIN=B07T6PGM4J,Derek Davis
No,"After reading some of the reviews I was very wary about buying this printer. I needed a color laser and I spent around $400 dollars on my last color laser and it only lasted two years. At around $141 plus tax, I went ahead and took a shot on this printer. So far I have been very pleased. It prints photos as well as my old expensive printer and the text looks very nice. I guess i will see later how long the toner lasts. But at this price point, the print seems well worth it!",Bluering,0,"April 13, 2020",R1SWL6XZQ4JW7L,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Great little printer for the money,1,https://www.amazon.com/gp/customer-reviews/R1SWL6XZQ4JW7L?ie=UTF8&ASIN=B07T6PGM4J,Chad Guynn
No,"I ALMOST made the mistake of buying this, but luckily I searched for the replacement cartridges and discovered they are $335 for the 4 cartridges! That is a TOTALLY INSANE price, this very day on Amazon you can get a Canon Color Image CLASS LBP622Cdw (Wireless, Mobile Ready, Duplex Laser Printer, Compact Size) for $206, and a full set of High Yield replacement toner cartridges with and extra HY black is &79.99!And I have searched hi and lo here at Amazon, and have not found a generic or aftermarket for this lexmark printer!I'm ordering the Canon!",Bluering,0,"April 12, 2020",R14YDU1EKR9CA5,C3224dw,Bluering/Lionfish (BRLF),Unverified,,1,Warning! Replacement toner cartridges are insanely expensive!,1,https://www.amazon.com/gp/customer-reviews/R14YDU1EKR9CA5?ie=UTF8&ASIN=B07T6PGM4J,momma1
No,Easy to set up. Prints really nice. I love being able to print from my cell phone. I definitely recommend this home printer.,Bluering,0,"April 12, 2020",R252Z76NKT3GMV,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Awesome printer,0,https://www.amazon.com/gp/customer-reviews/R252Z76NKT3GMV?ie=UTF8&ASIN=B07T6PGM4J,shelly
No,"It will not sync with my phone or computer. Therefore, I cannot print. I called to get tech help and he could not even help. Stayed on phone way too long and still didn't work. Don't buy this.",Bluering,0,"April 9, 2020",R2PA0X0228479,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,Don't buy,0,https://www.amazon.com/gp/customer-reviews/R2PA0X0228479?ie=UTF8&ASIN=B07T6PGM4J,maders
No,"I never have been able to connect to wi-fi even though I have gone through the set up process many times. The Lexmark support scan is a joke. A simple one page set-up instructions (in English) is all it would have taken. Instead what comes in the box are 3 pages of Safety information in about 30 languages (and only 4 lines of 3 pages are in English). Then the other 2 pages are also full non-English rubbish. Four months after buying and using maybe once per week or two, it prints blank pages. It gave no warning of low ink, however. I can only assume that's the problem. The Lexmark replacement cartridges on Amazon are $375.00!! I'm considering buying a different brand printer all together and starting over.",Bluering,0,"April 9, 2020",R24YBV1JIPSPF3,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,Wi-fi connect is impossible and ink refils very expensive,0,https://www.amazon.com/gp/customer-reviews/R24YBV1JIPSPF3?ie=UTF8&ASIN=B07T6PGM4J,Melinda D
Yes,"This printer will not connect to your network. If it does, it will go back offline within 60 seconds. Don’t bother downloading the app...it’s not compatible with this particular model. Don’t bother calling customer service...they will tell you to go watch YouTube videos. Seriously. After being out on hold 6 times, the rep gave me a list of 3 YouTube videos to watch that “should” fix my problem. It didn’t. The QR Code that’s supposed to be easily scanned to connect your devices WILL NOT SCAN. I wasted two days trying to connect this piece of junk to my phone and it’s impossible.",Bluering,4,"August 17, 2019",R2EW0NEGXA5SGE,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,"We are sorry to hear you are having issues with wireless connectivity. If you would like to reach out to Lexmark Technical Support at 1-800-539-6275 (1-800-Lexmark), we would be glad to assist you. To help expedite this process, we have already started a ticket for you. Please reference SR 1-312 808 896 974 when you talk to the support agent.We wanted to also let you know the technical support experience you described does not sound like advice or behavior you would get from Lexmark Technical Support. We do not sell software to fix customer issues. There are other 'customer support' companies that try to trick customers into paying for services they do not need. Some will pretend to be Lexmark. We look forward to hearing from you.",1,DO NOT buy this printer if you need it for wireless devices!!!,46,https://www.amazon.com/gp/customer-reviews/R2EW0NEGXA5SGE?ie=UTF8&ASIN=B07T6PGM4J,Queenie_501
Yes,"I took a chance and got this printer based on the positive Amazon Vine reviews. The set up was a breeze, even using just the control panel and not the app. However, I tried printing a 20-page PDF that has a file size of 5mb. The printer could not process the PDF and would only print a single page and give me an error saying that the memory is full. So then I tried to just print two pages from the PDF, and it can't even handle that. If it can't print a multi-page document it is pretty worthless. And there is no way you can print 24 pages a minute if you have to print them one page at a time. If you just want to print a single page all the time, than this printer would be great for you, and the print quality was good. But if you need to print a multi-page document... you'll want to look somewhere else. Needless to say, I will be returning this and buying another HP or Brother printer.Update #1 - I spent a whole day trying to get this printer to work. I reinstalled it multiple times, restored factory settings, reset it up, updated the printer firmware, updated my operating system, and then finally figured out that if I installed it using generic post script printing and boom! it works. There was zero support on the Lexmark website. So they lose a star for that.",Bluering,1,"August 12, 2019",R39U02I9NMEL2E,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,Thank you for your purchase of the Lexmark C3224 and taking the time to post a review.  We apologize for the difficulties you experienced in setting up the print drivers on your purchase and commend you for the diligence in troubleshooting to get your purchase up and running.  We would like to highlight that our support team at 1-800-LEXMARK are highly skilled in these types of issues and are a wonderful resource to assist you with any future questions or issues you could experience. ,4,Doesn't have enough memory to print multi-page documents,76,https://www.amazon.com/gp/customer-reviews/R39U02I9NMEL2E?ie=UTF8&ASIN=B07T6PGM4J,Benjamin H. George
No,"I believe this is my first experience with a Lexmark printer. Installing it was not nearly as easy as I expected, especially given the experiences I’ve had with other brands. It took multiple tries and loads of patience to finally get it done.You have to have a smart phone to install this. I tried to install from my laptop and it wouldn’t. I was required to download an app from Lexmark to just connect my phone and printer. Then I was able to use that app to connect the printer and my internet. Once that was completed I was able to connect to it with the laptop. To print from my phone, it looks like another app is needed.I did to a test print and it seems to be working. The printing was fine but not as crisp as I expected. But, I’ll see as I use it if that gets better.",Bluering,0,"August 11, 2019",RUCG4UF8O03M3,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,4,Lexmark Color Laser Printer,0,https://www.amazon.com/gp/customer-reviews/RUCG4UF8O03M3?ie=UTF8&ASIN=B07T6PGM4J,H. Martin
No,This took about 10 minutes from box to working. The longest part of it was loading the disk onto my computer so it could print wirelessly. I used the mobile app to get it started and then popped in the disk and I was ready to go. It's probably the easiest printer I've ever set up. I sent some color pages to the printer and it did a beautiful dual side printing where the colors on the paper look just like the original did from my screen. A simple basic laser color printer. This is a winner!,Bluering,0,"August 8, 2019",R37RL5T5TGKE8V,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,5,Easy to Setup and Great Looking Output,0,https://www.amazon.com/gp/customer-reviews/R37RL5T5TGKE8V?ie=UTF8&ASIN=B07T6PGM4J,MyOhMy
No,"=== My Take ===The Lexmark C3224dw is my first ever color laser printer and I like it very much for the most part. I like its compact and space-saving design and dimensions despite its heavier than expected heft. The control panel screen is bright & clear and the buttons around it are very responsive to my inputs. It is very intuitive to operate even without consulting the user manual first.I also liked its print quality - both in color and black & white. Text and images came out clear and smudge-free and the printing speed was satisfactory. Print operations were quiet, even the warm-up routine. Intermittently, however, the printer took an unusually long time to wake up from its Sleep & Hibernate status. There were times when we waited for longer than 30 seconds before the printer began flashing its light & started to print. Once it got warmed up, though, all later printer jobs printed at normal and satisfactory speeds.Another strong point for the C3224dw is its fast and simple setup process. I added it to my home network using just the control panel buttons to select my home WiFi and typing in the password. This process was seamless and very smooth. I also connected the printer to my desktop via a USB Type B cable (not included in the box) and installed the printer by installing the driver package from the Lexmark website. You also have the option to set it up using an Ethernet cable (also not included).Despite easily adding the printer to my home WiFi, however, none of my Windows 10 laptops around the house could find the printer during an actual print job, such as from Microsoft Word and Chrome browser. My wifey, who is not very techy, got frustrated because the printer wasn't listed in the printer selection drop-down menu. I had to go to Settings in Windows 10 and add the printer manually by typing in its IP address on each of my laptops. Compared to my other printers from Brother and HP, this part of my printing experience was subpar and disappointing. I expected a big printer company such as Lexmark to do a better job integrating the C3224dw to Windows 10.Another surprising thing was that there was no Windows 10 Lexmark app for the C3224dw printer. In order to access its settings, I had to launch the Embedded Web Server by opening a browser such as Chrome and then typing in its IP address. I guess some people might prefer this approach because it is one less app you have to install but I wouldn't have minded a Windows 10 app. You can install the Lexmark phone app but I chose not to do so because I have too many apps installed already on my Galaxy S10+ (>200).Once you access the printer settings via the Embedded Web Server, things are pretty straightforward and easy to navigate within. There are two main settings categories - Status & Settings. Under Status, you can view any Alerts & Warnings messages, Supply/Toner status, and printer info (firmware version, paper bin status).Under Settings, there are six additional sub-categories: Device, Print, Paper, Network/Ports, Security, and Reports.Under the Device section, I found the following options to be useful for our home - setting up low printer supply email notifications, configuring Sleep & Hibernate timeouts, turning on Eco Mode, and performing a firmware update.Inside the Print section, I turned on Duplex printing & the Collate option and set image printing to ""Auto Fit.""Inside the Network/Ports section, I left alone all the numerous options at their default (Wireless, AirPrint, Ethernet, TCP/IP, SNMP, IPSec, 802.1x, LPD, HTTP/FTP, USB, Restrict external network access, WiFi Direct) but did activate Google Cloud Print.I also left everything at default in the Security sub-section.Although the Settings page is plain and simple-looking, navigation among the options was quick, responsive, and very satisfactory and I appreciated all options given to me.All in all, I'm happy & satisfied with the Lexmark C3224dw and I don't regret getting it. Hopefully future firmware updates will improve printer wakeup time from its Sleep/Hibernate status._____*Pros:-Easy setup (WiFi or USB Type B).-Control panel buttons are responsive and intuitive to use.-Both color and black & white prints come out nice and clear.-Compact footprint.-Quiet operation.-Supports Lexmark Mobile Print, Google Cloud Print, Mopria Print, Apple AirPrint, and Wifi Direct.-Settings page offer numerous fine-tuning, network, and security options._____*Neutral:-Pretty heavy~!!-Wake-up time from Sleep is longer than I prefer.-Printer didn't get auto-detected by Windows 10 on all of my laptops on my home network. I had to add it manually by entering its IP address.-Performing a firmware update over the Embedded Web Server isn't as easy & simple as doing it with a Windows 10 or smartphone app.-Cartridge replacements will cost around $300 for all four._____*Cons:-Once in a while, print jobs over WiFi took TOO long. Inconsistent response times.",Bluering,0,"August 7, 2019",R2D8D7FIKARD1S,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,4,Good-value color laser printer with inconsistent wake-up printing time.,1,https://www.amazon.com/gp/customer-reviews/R2D8D7FIKARD1S?ie=UTF8&ASIN=B07T6PGM4J,optimummind
No,"To set up this laser printer. Initially I thought I was not going to be able to do it and would have to get help. Then after looking at it sitting in my kitchen I decided to try. The hardest part was preparing the printer. Removing the covers on the ink, easy. Removing all the tape, easy. Finding copy paper and loading the tray, easy. Now turning it on, easy. Following the instructions, easy. Still waiting for the hard part.. found a picture to test print. My iPad found the printer and picture was printed. Can it be any easier, I don’t think so. I wish I could discuss the specs and other technical information but this lady isn’t knowledgeable. All I know is the printer was easy to setup and printed a great picture.",Bluering,0,"August 6, 2019",R172RBFMX6BYAL,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,5,So Easy to Set Up,3,https://www.amazon.com/gp/customer-reviews/R172RBFMX6BYAL?ie=UTF8&ASIN=B07T6PGM4J,Nan W.
No,"I am using this to replace a Brother laser printer (NO COLOR, NO WIFI) that I have used for 6 years and it was still going strong.So far I don’t regret the upgrade to this Lexmark. While it’s no faster to print than the Brother, it isn’t slower, and is MUCH quieter, which I like in my office setting. Print quality on the whole is excellent. As far as the color printing goes (which I don’t do much of), it looks good, but not great. You won’t confuse it for a photo printer, nor is it intended to be. For color documents, it’s MINT!What I don’t like...well, set up was sort of annoying. The machine prompts you to download the app on your phone, which I did. No matter what I couldn’t get the thing to connect. So I wound up backing out of the set up and doing it manually from the printer. Took forever punching in my cryptic WiFi password with no keyboard. After that, I did get a strange error about the Cyan cartridge. I cleared it and it hasn’t come back, so we will see.Overall it’s well made, has a good “heft” to it. It occupies only about the same space as my old B&W printer, which is impressive. Servicing and toner replacement is easy. It has a lot going for it, and so far I am thrilled with it!***3+ month update**** printer has been perfect. I use it every day and have not had a single paper jam or any other issues. This is a nice printer! Continues to impress!!",Bluering,0,"July 31, 2019",R1I0G70F6ZF1SI,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,5,"Well, it has a lot to live up to. So far so good...",10,https://www.amazon.com/gp/customer-reviews/R1I0G70F6ZF1SI?ie=UTF8&ASIN=B07T6PGM4J,Dale
No,"Printers can be hit-and-miss when it comes to setting them up and this one is no different. Upon powering up, the screen prompts you to approve several settings before eventually reaching a point where you'll continue via Lexmark's mobile app, or, continue with setting up on the printer directly. I opted to go to mobile app route since I'd be connecting to my wi-fi network and entering a password on the printer's minimalist screen would be a pain.On the mobile app, you'll be prompted to connect to a wi-fi signal being output by the printer, and from there you'll tell it what wi-fi network you want IT to connect to, along with the password, and you're set!...or rather...you should be. For me, everything appeared to be setup just fine, but for some reason, I still had to manually select a network and enter the password on the printer itself. Not really sure what went wrong, but that was a little annoying. Once connected, simply install the printer's driver software from the included disc (or download from Lexmark site) and you should be set.Besides that minor inconvenience, printing quality is perfect, and fast. It goes to sleep automatically after a period of not being used, and it doesn't make any noise or mechanical adjustments when being turned on/off, or when sleeping, or being woken. Other printers I've had all seem to make noise when doing this and this sometimes occurred in the middle of the night too, so it'd be a bit startling, but this Lexmark is perfectly quiet in this respect.Overall, really nice printer that does its job well.",Bluering,0,"July 29, 2019",R31BL20KZA0QSQ,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,5,A little clunky setup at first but great quality prints,3,https://www.amazon.com/gp/customer-reviews/R31BL20KZA0QSQ?ie=UTF8&ASIN=B07T6PGM4J,Ugh
No,"Below are my thoughts/observations on the Lexmark C3224dw Color Laser Printer. Some pictures are also included.Setup- the printer box had illustrations on top showing how to remove the printer from the box. I found that helpful and accurate in how best to begin the setup process.- Inside, a two sided sheet showed additional instructions for removing the tape, setting up the toner cartridges (which were already installed) and adding paper- It came with an installation CD for use in setting the printer up as locally attached to a PC. - You will need to supply your own USB printer cord and connect it to the printer and PC. - Turn on the printer; load the CD in your computer’s drive and the install process will begin automatically (I installed it on a Windows 10 desktop). In a couple of minutes, my PC sent a pop-up message that it was done.- While the CD was installing the printer drivers, etc. to my PC, the printer itself also displayed messages on its display screen: - First, it asked if I wanted to setup the phone app. I declined this since I did not want another phone app. - Next, it walked me through the steps to set it up on my home WIFI. This was pretty easy to do but unavoidably repetitive. I.e., if your WIFI name is “KatManDu-74”, you will have to enter each upper/lowercase letter, character or number by repeatedly pressing an arrow key for each one then hitting “OK”. Not difficult to do but boring. This, of course, took longer to complete than the automated process with the CD.Output QualtiyIt is excellent. I printed multiple photographs and they looked great and also printed some test prints and plain text documents that also looked really good.Printing Through WIFIWithout installing any apps to my iPhone or iPad, I was able to print multiple photos even though the WIF router was upstairs and I was in the basement sitting next to the printer. This means the image was transmitted through the floor/walls to the router and back through the floor/walls to the printer without issue.Overall ImpressionsAs stated earlier, I did not install or test any Lexmark printing apps (for the phone or PC) but do not think they are needed for wireless/remote printing. They may have other features (low toner warnings, etc.) that you may desire so, that is a choice you must make..It is quiet, and gives excellent quality output whether locally attached to your PC or sitting as a standalone device on your WIFI. You also have the option of connecting it to your network using an Ethernet cable but I did not test that since making the WIFI connection was so simple.I am very happy with the Lexmark C224DW printer.",Bluering,0,"July 28, 2019",RYLHERBWWYBU8,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,5,Excellent Output; Easy Local or WIFI Setup,19,https://www.amazon.com/gp/customer-reviews/RYLHERBWWYBU8?ie=UTF8&ASIN=B07T6PGM4J,MWCraft
No,I sell online and this printer is excellent for shipping labels. It was very fast and got my job done in five minutes. The printer also synced with my windows system fast and simply. The printer how ever is very heavy and I needed help carrying it.,Bluering,0,"July 27, 2019",R3RBOCXG0HEB2C,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,4,I sell online and this is excellent for shipping labels.,1,https://www.amazon.com/gp/customer-reviews/R3RBOCXG0HEB2C?ie=UTF8&ASIN=B07T6PGM4J,louise
No,"My first thought with this printer was how heavy it is! It was very easy to unpack it from the box, but no USB cable was included with the printer. I know it's wireless, but I wanted to connect it to my desktop with a USB cable so I wish that it would have been included. It was really slow to set up through the touch screen on the printer wirelessly. I should have used the app. The Google Cloud print worked really well though. The printer is very loud, but the picture quality is beautiful. I don't print much so I think this printer is going to work out great for me.",Bluering,0,"October 5, 2019",R2KU42YIEKGAWD,C3224dw,Bluering/Lionfish (BRLF),Vine Customer,,4,"Beautiful picture quality, but use the app to set it up",1,https://www.amazon.com/gp/customer-reviews/R2KU42YIEKGAWD?ie=UTF8&ASIN=B07T6PGM4J,Sharon
No,"Its awful expensive, hard to set up and use, but seems easy to use.",Bluering,0,"October 4, 2019",RKUOWLR5BMTT0,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,4,Its quick,0,https://www.amazon.com/gp/customer-reviews/RKUOWLR5BMTT0?ie=UTF8&ASIN=B07T6PGM4J,jjeff68
No,"Almost didn't buy this based on all the 1-Star reviews, but realized they were mostly wireless connectivity issues. Having printers drop wireless connections is a Home WiFi given and is easily corrected by assigning an IP address to your printers. This is a bit of an advanced WiFi management issue, but the best thing you can ever do for printers, as well as any complex, LAN-connected items. It only takes a minute once you know how to do.Hooked it up to my WiFi, reserved and assigned the IP address that it took. Real nice that it's displayed on the screen, and off we went. Yeah, it's a little slow to first page print, but no rush.We're low volume users and I'm tired of inkjets' print heads gumming up. This should be the cure to that.",Bluering,1,"September 24, 2019",R33LQREBKHEA7E,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,4,"Don't Let The Negative Reviews Stop You, A Decent, Low-Priced Laserjet",123,https://www.amazon.com/gp/customer-reviews/R33LQREBKHEA7E?ie=UTF8&ASIN=B07T6PGM4J,NaClH20
No,"Easy to set up, great quality prints",Bluering,0,"September 23, 2019",R2W6DJRK1W6HNG,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,5,Easy,2,https://www.amazon.com/gp/customer-reviews/R2W6DJRK1W6HNG?ie=UTF8&ASIN=B07T6PGM4J,Mandy Casey
No,"0 star.....after it arrived it would not detect our router...... 3 apple computers, our previous printer and 2 Samsung phones talk to the router just fine...... then the printer was connected by wire to an APPLE MINI-MAC AND A LAP TOP, no response from the printer or computers............ we had to package it back up and haul it to the UPS store , all 41.75 pounds . We will buy a Canon or HP",Bluering,1,"September 11, 2019",R1MC724DK03CZE,C3224dw,Bluering/Lionfish (BRLF),Verified Purchase,,1,"0 star, would not work",17,https://www.amazon.com/gp/customer-reviews/R1MC724DK03CZE?ie=UTF8&ASIN=B07T6PGM4J,gene alderson
