id,date,username,stars,variation,badge,upvotes,comments,title,body
R369HGTT00BZAG,"January 22, 2020",WRX X,1,N/A,Verified Purchase,0,0,"Defective out of the box, support is almost non existent","i ordered this printer for home use. It was very inexpensive and with laser you don't really have to worry about cartridges drying out. After unpacking and removing the shipping protectors the printer kept complaining about shipping materials inside the cartridges. I kept looking for stuff to remove to no avail. I called support and i was told that this is a common problem with this printer, and they will rma it and send me a new one, and i will send this back. Well a week after the call the support rep keeps telling me that the tracking numbers will be available in 2 days. This has been going on for about a week now and no tracking numbers. I am ready to return this unit to amazon and be done with this brand. The only reason i got this is because it was very inexpensive, and with our usage the printer will be obsolete before the starter cartridges will be out."
R2XUGA1IDZ8BR5,"August 25, 2019",fred,1,N/A,Verified Purchase,4,1,Terrible,"I'm returning this unit. Every single time we try to print, it beeps & tells us to load paper. When it finally does print, the quality is fuzzy. We've tried adjusting the settings and have spent too much time trying to get it to function. Don't waste your time."
R3B49WX6C77PXX,"November 14, 2019",Ryan kiley,1,N/A,Verified Purchase,3,0,"Not very mac os friendly, wifi didn't work.",Printer would not stay connected via wifi. Called technical support twice. 1st time they were able to fix the issue after almost an hr long phone call. 2nd time they were unsuccessful and they acknowledged that this was a common problem that has yet to be resolved.I returned the printer and purchased a different model and brand altogether. Would not recommend.
R3GHPRRHJQJI29,"October 17, 2019",P. Gorman,3,N/A,Verified Purchase,1,0,difficult downloads,"tough time downloading instructions/ software from lexmark site. Eventually succeeded. Printer is noisy, but works OK as color printer/ copier. Still working on scan. Seems pretty good for the price. Not idiotproof, unfortunately."
R12PJBTAR767SP,"January 4, 2020",Cynthia Martinez,4,N/A,Verified Purchase,2,0,Ink cartridge,the printer is great the only down fall is the price on having to change out the ink cartridge. you're better off buying a new printer all over again because the ink cartridges are the same if not more costly than the printer itself.
R3KMHZL85GGGGT,"January 18, 2020",heatherg,1,N/A,Verified Purchase,0,1,Doesn't work for cardstock,"Having trouble printing on cardstock, which is what I bought it for. Ink is hard to get and incredibly expensive. I bought a black ink from BlueDogInk (Lexmark brand) and it says it's half-full but it's printing shadows on my pages and I have to take it out and shake it to get the streaks it's making to stop. Wish I'd never bought this."
RUGTJAGVHUW6C,"October 29, 2019",Jason,1,N/A,Verified Purchase,1,1,waste of money,Maybe worked for 10 pages. We were excited for it. Waited 3 weeks later to send off another print job. Can't print because I need to replace the waste bottle cartridge. I got 2 more days before I can submit a full refund and return. Piece of junk!
RFBKU5ZMTM9AE,"September 28, 2019",Mrs. S,5,N/A,Verified Purchase,1,0,Fantastic,Fantastic
R36FCV7L060JOX,"October 15, 2019",fosgood,4,N/A,Verified Purchase,0,0,So far so good,Touch screen is really small for entering fax numbers. Will probably have to buy a stylus and glue to the side. Called support to set up multi-page scanning to a single-doc and support did a remote session and programmed everything for us.
R3E5PJ124P1FU,"February 14, 2020",Marcelo Tettamanti,2,N/A,Verified Purchase,0,0,Tough to make it work with obsolete PC software,"Print quality is ok. Trying to scan was a nightmare. I've managed over 5 different multifunction printers and the software of this system is a nightmare. You don't even have a straight forward, single push, SCAN button in your main options. I keep getting lured by price and end up repenting on these second grade brands."
RSOO35603X5GM,"January 18, 2020",Kevin G,1,N/A,Verified Purchase,1,0,"Poor wi-fi, expensive and difficult to find toner cartridges.",Does not maintain wi-fi connection after power-down. Cannot find print cartridges locally. Does not maintain communication with computer through router. Very disappointed.
RH9FS1D2JXWF9,"January 7, 2020",Bradford D.,2,N/A,Verified Purchase,1,0,Keeps rebooting,The BIOS is unstable for some reason. Keeps rebooting.
R3UWJ09HIMIRUC,"January 20, 2020",DM,1,N/A,Verified Purchase,0,2,So Many Problems,"Everything that could possibly go wrong with this device does. Printer constantly drops offline, scanner works like 20% of the time. Constantly having to restart the device just to get it to work. And if you can even get it to print, the pages sometimes come out all black??? What a waste of toner. Touch screen is nice, though."
R3SNCWTGBBZO0L,"November 2, 2019",Wade N. Schneider,5,N/A,Verified Purchase,0,0,Great printer,I really like my new printer it prints quality color and black and white copies.
R4EPR22CU0QWU,"February 19, 2020",William A. Garlin Jr.,5,N/A,Verified Purchase,0,0,Nice Update,More compact than the unit it replaced and it does more.
R30HHEORE51BNN,"February 1, 2020",Joan & Marlin McGowin,4,N/A,Verified Purchase,0,0,Time will tell,So far so good for us.
RQASILPRCWWL2,"March 3, 2020",Amazon Customer,1,N/A,Verified Purchase,0,0,Not connecting wire,"Why is it not connecting with wireless connections, like a router, I have other printers from other companies but only this one is not connecting?"
R1UAOBFVNS67V5,"January 29, 2020",Cindy Jones,4,N/A,Verified Purchase,0,0,Welll,I pretty much like the printer but it seems to go off line a LOT
RV8PVU35QF29O,"July 22, 2019",Katherine Y,5,N/A,Vine Customer,6,0,"High-end printer with many features, may require on-line help with setup","The machine has all the features you could wish for in a higher-end printer. Both ethernet and wireless compatible, the technology allows you to set up the device according to your needs, even if you choose to print from your cellphone. You can scan, fax, and print. The color copies it makes are crisp and clear. At around 40 pounds, the printer can be moved if needed. It measures 13 inches high, 15 ½ inches wide, and 14 ½ inches deep, which makes it almost a square shape and capable of fitting in smaller spaces.A small control screen that is touch-enabled is located on the left front of the unit. The keypad that comes up is very touch-sensitive. I had to enter my long wireless information more than once in setting the printer up. The only negative I have encountered in using the printer is in the set-up. Instructions are clear and detailed for removing the clear tapes and plastic tabs, keeping the toner ink in place. You may need to chat online with a company representative as I did to ensure you have established connectivity to all your devices.You do have to download the printer driver which comes on a provided disc or from the given website. You will also need to enter your unique wireless information on your printer keypad if you are choosing this method. All in all, this was not a bad experience; the representative was very helpful and clear; however, the set-up process is not entirely intuitive.The printer functions beautifully. We have it connected to two laptops. I love its quiet operation and fast 24 pages per minutes printing speed."
RGN6CJJRKWO81,"August 6, 2019",Matthew R,5,N/A,Vine Customer,3,0,Color printer/photocopier.  600dpi with photo enhancement.  Wireless capable and fast.,"This is a nice compact color printer. It also allows you to scan, fax and copy. The printer can copy/scan/print in 600dpi but if you use the photo settings you can get results that look better than 600dpi. It will not produce the results you would expect from a photo printer but it can produce nice quality output if you use the right settings.The touch screen is also in color and is bright and clear. (you can see it at an angle easily as well) It is nice to scroll through the menus like you would on your smartphone. (touch and drag)The scanner seems to make images a little brighter and a more 'washed out' than the original in some cases. The software comes with a TWAIN-compliant driver that will let you import images into your favorite graphics manipulation program. (like Photoshop for example) I was able to scan photos with close to photo-quality output by selecting the Photo Mode from the menu of the TWIAN driver and changing the dpi setting to 600. The image looked better than 600dpi but it did scan in 600dpi. The full 8.5x11 sheet was 5100 x 6600 pixels. (if you divide the pixels by 600 it ends up being 8.5 x 11)For office or home use, it is a great little printer as long as you aren't expecting it to print photo quality. One nice thing about a laser printer is that it can sit of years without issues, unlike an inkjet where the ink can dry and cause issues if it is not used frequently.The printer was easy to install and comes with an actual CD/DVD. (you can find the driver on Epson's website very easily if you do not have a DVD drive on your computer) It can also be set up to print from a phone over WiFi. My experience with printing from a phone is that it is a last resort since the phone itself limits the control you have over the print output.In summary, the printer only prints in 600dpi but some kind of enhancement is going on that makes photos look better than 600dpi when it is used. Even with those settings, it does not with photo quality results. For graphics, text and even photo-like quality, it is a great all-around multifunction.The printer goes to sleep on its own after a bit so to use it wirelessly you may need to power it on. It can be used as a scanner though it can only scan at 600dpi. (photo mode enhances the image for photos) I haven't tried the fax functionality since I do not fax much. The copier functionality is slick. You can navigate through the menus to get the optimal settings.It does everything I would expect it to do. The photo enhancements from photo mode produced very nice results for 600dpi, even though the output is not photo quality. I printed a picture of my friend's Camaro on regular copy paper for reference."
R19ZHENAP40L8,"July 28, 2019",THATCHMAN1,4,N/A,Vine Customer,3,1,"4 Star Approaching 5 - Well made, prints great, easy to set up","This is the second Lexmark in my life and is deployed at my parents' house. They are not extremely heavy printers but tend to also need to do some occasional scanning, were interested in the idea of being able to fax medical paperwork when they can't upload in an app, and liked the idea of not having to replace ink continually. So we're in business with this printer.Hardware: Very well constructed, more durably made than your average HP or Canon these days.Packing: Very well packed in materials that did not get damaged nor have issues during shipping.Unpacking: Very easy to slide out of the box, no acrobatics requiredSetup: Setup is very easy. I used the menu rather than an app or installing things on a computerAfter setup and installing the local drivers and configuring them, the printer is very responsive for printing even though its allowed to sleep most of the time. It also works well with AirPrint which is fantastic!The LCD screen is bright, color, and easy to use. The touch buttons are also very easy to use. The functionality of the scanner, toner loading, other physical functions are easy. Double side printing is very easy.This was almost a 5 star review but there were a couple software issues that got in the way and I'm sure will be resolved with software updates.1. When setting up the fax, no matter how many times I named the fax, it wouldn't save. I had to skip it and do it later by navigating the menu.2. The printer for some reason came thinking it's main paper tray was ""colored paper"" which caused every single computer I set up to cause the printer to throw an error every time they tried to print to ""plain paper"" which is the default for every printer in the world forever and always for it's main paper tray-- I'd guess this was a setup bug/error.3. I cannot for the life of me get the software and driver for Windows 10 to recognize this model of printer to display a scanning utility. I'm expecting this to be solved by a software update as well. I know this printer was listed as ""just announced"" on the web site. The driver installs fine, I can print fine, but when I open the utility for scanning it says no compatible models found. Even Windows 10 recognizes the scanning device but...So summary: The printer is fantastic, I love it, I wouldn't hesitate on buying but only if scanning over the network is absolutely essential, and I'd guess that should be solved soon. I'll update if I know it's fixed in a software update."
R4Y0XFT8RIM0Z,"August 20, 2019",Joshua Villines,5,N/A,Vine Customer,3,0,Excellent Home-Office All-In-One,"This is a compact (for a multi-function device) multi-function printer/copier/scanner designed to meet the needs of a telecommuter or a small office.-=PRINT QUALITY=-Print quality is outstanding for text. Photos and graphics look more muted, and less crisp, that than with a photo printer, but still quite good. For office applications which do not require photo-realism, the print quality it is pretty much ideal. Print speed is also quite fast, and even duplex printing is reasonably quick.-=WIRELESS=-Wireless connectivity is fast and painless, and Windows 10 found the printer with no difficulty.-=SCANNING/COPYING=-The 600 dpi scanner on the 3224 is fairly standard, but the ADF is a simplex scanner, which is frustrating for some applications. Speed is quite good.-=CONSUMABLES=-I highly recommending setting the printer to default to black and white, and then only turning on color when you need it. The included cartridges are rated at 700 pages, and the replacements (purchased separately) are rated at 1500 pages. They are roughly $70 each.-=BUILD QUALITY=-This is a solid piece of hardware that feels well-made. Nothing feels cheap or flimsy, and it appears to be designed for regular, consistent use.-=OVERALL=-Performance isn't quite comparable with my favorite MFC line - The Canon ImageClass printers. Those printers, however, are much larger. If you don't need duplex scanning, this is a solid option."
R2S19CBIJT7PAR,"September 6, 2019",S,5,N/A,Vine Customer,1,0,"Solid, well-made printer","I got this Lexmark after my last printer died on me, and I’m pretty glad I did. It’s really well made, offers a ton of great features, and looks pretty good on my desk. While my needs for this printer aren’t many (I have another printer for my home office), it’s worked really well for me so far and I’d be happy to recommend it.Pros:When printing the black text shows up crisp and clear on the page, proving immediately that it’s a quality piece of equipment. It’s bold and punchy, and I haven’t had any trouble reading anything I’ve printed yet. The color printing for photos and images is pretty good, though I’ve seen much better from other printers. It’ll work just fine as long as printing color isn’t your main objective. After setup, the printer easily connects to my devices (Macbook, Android) without fail, and I’ve absolutely never had a problem.I love that the printer is so quiet - it doesn’t even wake my sleeping pets when they’re in the same room! The scanning feature is pretty easy to use and self explanatory with a regular speed. The small touchscreen is easy to use and lends a modern feel to the machine. Everything on the machine is high quality, and it feels like it’s made to last. Nothing flimsy whatsoever.Cons:As mentioned earlier, I wouldn’t recommend this printer if photos and color-use are your main objectives. While the printer works fine for these things, the vibrance is notably less than for my previous printer (Epson Workforce Pro WF-4630). This feels nitpicky, but I’d really have expected a larger paper tray from a printer of this size and price.Setup took a little longer than I’d prefer - you have to install a driver and painstakingly connect the printer to all your devices. Again, once setup, you’re good to go, but know that you’ll be sitting down for a good half hour or so to get it all working. For home use, I find the printer size a bit much. It appears to me a little smaller in the photos, so I was surprised when it arrived and I had to find a bigger spot for it.Overall, though, it’s a pretty good product. I’d happy suggest it."
R8G8VXYIKS23K,"July 31, 2019",Dice,4,N/A,Vine Customer,1,0,Quality and Feature Packed,"This printer is replacing an inkjet in a small home office that primarily prints word documents and the rare color image. This Lexmark has so far fit the bill well with it compact size, quiet operation, and fast printing capability. There are many features packed into this printer, all of which is controlled on the almost over-sensitive touch screen (perhaps my fingers are just too big). Setup was fairly straightforward for me and I didn't need any assistance. Wired and wireless connections work very well and I have had zero problems with wireless connections.Print quality is excellent for text, and so-so for images. However, if you are looking to print quality images, that is where an inkjet will still be handy. For that reason, my old inkjet will stick around strictly for printing images.Lexmark also offers an exchange program for their toner cartridges, saving the consumer about 25%. You purchase a toner cartridge from Lexmark, in exchange for your old one. However, it appears that of the time of this review, it is currently unavailable.Overall, for a home, or even office, this is an excellent printer. Even if you don't print often at all, but need the printer to work at the snap of your fingers, I would suggest this laser printer over an inkjet because unlike ink, toner won't dry out and become waste. You will pay the price upfront, but over the life of the printer, you will more than make up for the cost in the long run."
R3CD0J7QEKBDGC,"August 15, 2019",M. L. Thompson,5,N/A,Vine Customer,1,0,"Fast, good quality, and good value for cost","I’ve been really pleased with this printer. One advantage to a laser is that it is fairly quiet while still printing high volumes of pages. This particular model was very easy to set up to print from a variety of sources—including Airprint, Google Cloud Print, the Lexmark Apple app on an iPhone and/or iPad, and a network printer from a Windows PC. Resolution on the type or font is good, making the print quality excellent. The only slight drawback I noticed was that it doesn’t offer a huge number of options directly from the print screen to customize print jobs. I did not deduct any stars for this because it meets the needs of our household well, regardless."
RL0H4QID63JQB,"September 6, 2019",Mido,5,N/A,Vine Customer,0,0,Great printer & copier,"This is a great color printer. Fast, good colors. It's similar to an HP I also have (m454). Large toner cartridges. Good color. The color is great for anything other than photos... there is looks good, but it looks like a ""copy"", though that's partially because of the paper. If you copy or print anything that's more like diagrams or line art, the colors are great. Set up was smooth -- not quite as easy at the HP, but nothing to complain about. Print time and sound are similar to the HP. The HP is a little quieter. But since this has a scanner also, for copying, unless you only need the printer, this is a better buy than the HP."
R27A3J0254FLG6,"September 3, 2019",Angela,4,N/A,Vine Customer,1,0,Works great once it is finally up an running correctly,Printing pictures or documents from your phone app works great over wifi. Printing off the computer through their webpage was horrible. There are no instructions telling you what to do and only now after weeks of trying I was finally able to get it to print from the computer. The scan and print option/photocopy option is great. Photocopies in color as well which is nice.
R3W28I1V7LYNG2,"August 18, 2019",CHEezyMom,5,N/A,Vine Customer,0,0,Great printer,"It’s a bit on the large side for home use but only because it’s tall. As far as desk space it takes up the same amount as our old all-in-one. This printer works great. Easy to use and connect. Prints clearly and fast. The only con so far is that when scanning and making copies it comes out lighter than what I’d like it to but It’s still clear. Printing wirelessly from our laptop to this works fine, no issues."
RJK1DEBRDB1ZB,"February 23, 2020",Edwin Combs,5,N/A,Unverified,0,0,I own this printer and so far it works great,"I own this printer and the print quality is very good. I use it as a home printer/scanner/copier. I was going to buy an eco-tank Epson, but I go long periods without printing and inkjets get clogged nozzles. So far with this printer, I have no complaints. Toner is expensive, but in time there will be a cheaper third party alternative."
R3FHV47UX4SZBR,"January 30, 2020",Bargn Hntr,4,N/A,Vine Customer,0,0,So much better than the Canon ImageCLASS,OMG I don’t know why I ever bought Canons. The set up was easy and it stays connected without giving me errors every week and having to be reset like my Canons. The print speed is as good or better than my Canon ImageCLASS MF642Cdw. For me I would not switch back to the Canons this is affordable and is much more dependable
R2CMB00FIQ051K,"September 9, 2019",Alison L,5,N/A,Vine Customer,0,0,Quality and convenient,Great printer. The set up process was fairly simple. None of our computers have DVD drive so we weren’t able to use the included disk and had to set it up using the touch screen. The app is easy to use and I love being able to print from my phone. We really like the double sided printing option. It does great quality prints.
R12L2QIHXNUM15,"August 12, 2019",Jalicia,4,N/A,Vine Customer,0,0,Nice,It's great just a little hard to set up you gotta download like 3 apps. Wish I could use glossy paper for pictures
R3JPI1AXVV3OQF,"July 27, 2019",Janay,5,N/A,Vine Customer,0,0,Worth the money,Very nice... As pictured
